Species	VE	SC	SVL	TL
L_ahaetulla	160	166	255	154
L_ahaetulla	169	163	251	164
L_ahaetulla	173	164	465	175
L_ahaetulla	162	137	295	185
L_ahaetulla	163	165	313	198
L_ahaetulla	159	162	325	202
L_ahaetulla	167	153	320	206
L_ahaetulla	166	169	350	220
L_ahaetulla	162	166	321	220
L_ahaetulla	160	175	374	227
L_ahaetulla	165	164	386	245
L_ahaetulla	173	156	487	256
L_ahaetulla	161	153	395	260
L_ahaetulla	169	164	435	269
L_ahaetulla	177	161	450	277
L_ahaetulla	173	171	436	278
L_ahaetulla	174	174	440	281
L_ahaetulla	171	162	442	284
L_ahaetulla	173	165	441	284
L_ahaetulla	175	162	448	287
L_ahaetulla	164	158	358	287
L_ahaetulla	172	166	433	288
L_ahaetulla	169	158	492	295
L_ahaetulla	171	173	447	296
L_ahaetulla	178	147	505	297
L_ahaetulla	168	167	500	298
L_ahaetulla	168	161	455	300
L_ahaetulla	175	171	445	305
L_ahaetulla	159	157	755	309
L_ahaetulla	174	176	460	310
L_ahaetulla	177	172	459	313
L_ahaetulla	165	162	466	315
L_ahaetulla	174	168	457	319
L_ahaetulla	176	165	495	321
L_ahaetulla	158	153	523	323
L_ahaetulla	165	143	520	323
L_ahaetulla	169	149	512	326
L_ahaetulla	163	167	480	326
L_ahaetulla	163	177	465	326
L_ahaetulla	176	163	510	327
L_ahaetulla	172	131	497	328
L_ahaetulla	167	155	510	329
L_ahaetulla	173	157	510	330
L_ahaetulla	172	157	529	331
L_ahaetulla	160	172	568	335
L_ahaetulla	171	165	494	335
L_ahaetulla	169	145	505	338
L_ahaetulla	177	160	495	342
L_ahaetulla	171	161	520	343
L_ahaetulla	174	155	494	343
L_ahaetulla	171	167	538	345
L_ahaetulla	163	168	535	345
L_ahaetulla	174	164	510	346
L_ahaetulla	163	160	538	347
L_ahaetulla	172	157	502	348
L_ahaetulla	177	164	502	348
L_ahaetulla	165	151	516	349
L_ahaetulla	162	157	532	354
L_ahaetulla	170	163	535	355
L_ahaetulla	159	162	570	357
L_ahaetulla	166	173	552	357
L_ahaetulla	156	163	547	360
L_ahaetulla	166	155	555	361
L_ahaetulla	166	167	538	361
L_ahaetulla	164	151	530	361
L_ahaetulla	167	154	536	363
L_ahaetulla	161	147	522	364
L_ahaetulla	156	134	552	367
L_ahaetulla	162	160	528	368
L_ahaetulla	165	156	590	369
L_ahaetulla	161	166	547	369
L_ahaetulla	163	157	585	370
L_ahaetulla	160	139	560	371
L_ahaetulla	176	171	443	371
L_ahaetulla	164	160	575	372
L_ahaetulla	167	172	630	377
L_ahaetulla	161	157	600	377
L_ahaetulla	161	154	620	378
L_ahaetulla	159	157	608	379
L_ahaetulla	161	164	555	380
L_ahaetulla	168	160	534	380
L_ahaetulla	169	169	580	381
L_ahaetulla	172	160	585	382
L_ahaetulla	167	158	562	382
L_ahaetulla	157	150	541	382
L_ahaetulla	166	158	865	384
L_ahaetulla	166	162	575	384
L_ahaetulla	163	152	648	385
L_ahaetulla	168	156	585	385
L_ahaetulla	167	156	610	386
L_ahaetulla	167	158	580	386
L_ahaetulla	162	159	570	386
L_ahaetulla	164	160	650	387
L_ahaetulla	162	158	595	387
L_ahaetulla	162	150	592	387
L_ahaetulla	170	143	611	389
L_ahaetulla	163	157	605	390
L_ahaetulla	166	166	595	394
L_ahaetulla	172	164	585	394
L_ahaetulla	163	144	645	400
L_ahaetulla	162	145	640	400
L_ahaetulla	168	157	606	400
L_ahaetulla	172	153	587	400
L_ahaetulla	173	164	620	404
L_ahaetulla	171	150	611	404
L_ahaetulla	174	159	600	404
L_ahaetulla	169	164	598	406
L_ahaetulla	167	149	615	410
L_ahaetulla	176	156	590	411
L_ahaetulla	169	163	625	412
L_ahaetulla	168	168	672	414
L_ahaetulla	166	166	608	414
L_ahaetulla	192	138	620	415
L_ahaetulla	160	150	600	418
L_ahaetulla	170	146	642	419
L_ahaetulla	166	155	630	420
L_ahaetulla	168	154	620	420
L_ahaetulla	169	166	585	420
L_ahaetulla	162	145	762	423
L_ahaetulla	167	158	670	429
L_ahaetulla	159	154	661	429
L_ahaetulla	164	154	672	432
L_ahaetulla	165	136	640	433
L_ahaetulla	169	162	681	436
L_ahaetulla	170	162	619	436
L_ahaetulla	161	181	578	438
L_ahaetulla	164	147	700	442
L_ahaetulla	166	158	652	444
L_ahaetulla	169	152	646	444
L_ahaetulla	166	151	710	446
L_ahaetulla	163	160	693	450
L_ahaetulla	167	158	633	450
L_ahaetulla	163	156	720	458
L_ahaetulla	158	155	744	459
L_ahaetulla	170	161	697	460
L_ahaetulla	163	153	708	464
L_ahaetulla	166	154	718	467
L_ahaetulla	165	164	735	470
L_ahaetulla	161	161	650	472
L_ahaetulla	169	158	780	480
L_ahaetulla	165	153	850	488
L_ahaetulla	169	152	675	495
L_ahaetulla	165	166	729	502
L_ahaetulla	160	157	820	503
L_ahaetulla	166	141	787	505
L_ahaetulla	158	149	820	520
L_ahaetulla	169	153	787	556
L_bocourti	159	165	483	331
L_bocourti	162	167	692	455
L_bocourti	164	164	645	457
L_bocourti	162	165	701	471
L_bolivianus	162	131	205	118
L_bolivianus	157	136	237	130
L_bolivianus	168	139	501	313
L_bolivianus	165	154	525	319
L_bolivianus	173	140	580	323
L_bolivianus	165	149	545	329
L_bolivianus	165	147	544	340
L_bolivianus	166	151	545	344
L_bolivianus	170	149	577	357
L_coeruleodorsus	157	162	478	310
L_coeruleodorsus	166	161	463	310
L_coeruleodorsus	159	158	535	334
L_coeruleodorsus	161	150	560	374
L_coeruleodorsus	164	159	575	406
L_coeruleodorsus	162	155	618	407
L_coeruleodorsus	165	167	711	470
L_coeruleodorsus	164	160	733	473
L_coeruleodorsus	163	168	876	599
L_dibernardoi	172	145	638	366
L_dibernardoi	164	150	632	381
L_dibernardoi	168	144	711	399
L_dibernardoi	167	153	679	408
L_dibernardoi	170	158	630	420
L_dibernardoi	166	162	905	475
L_dibernardoi	168	153	835	511
L_dibernardoi	172	148	868	522
L_liocercus	161	158	246	158
L_liocercus	159	151	376	232
L_liocercus	165	154	400	294
L_liocercus	160	162	451	326
L_liocercus	155	151	492	328
L_liocercus	164	164	500	330
L_liocercus	167	166	581	371
L_liocercus	160	156	554	385
L_liocercus	163	157	580	390
L_liocercus	162	156	511	398
L_liocercus	169	172	650	400
L_liocercus	161	173	600	400
L_liocercus	162	154	538	402
L_liocercus	163	156	732	425
L_liocercus	157	156	632	436
L_liocercus	158	162	663	437
L_liocercus	163	165	677	440
L_liocercus	163	159	626	441
L_liocercus	167	150	655	444
L_liocercus	166	151	715	448
L_liocercus	153	149	685	454
L_liocercus	159	167	650	456
L_liocercus	157	160	642	467
L_liocercus	156	152	720	471
L_liocercus	162	144	800	477
L_liocercus	173	147	691	480
L_liocercus	166	162	717	519
L_liocercus	154	153	840	520
L_liocercus	159	162	925	637
L_marginatus	165	151	327	205
L_marginatus	166	136	430	258
L_marginatus	164	136	418	264
L_marginatus	159	133	459	282
L_marginatus	156	141	494	300
L_marginatus	170	162	502	304
L_marginatus	166	133	498	306
L_marginatus	185	138	480	315
L_marginatus	169	142	593	321
L_marginatus	172	152	529	321
L_marginatus	163	138	540	324
L_marginatus	163	130	530	327
L_marginatus	172	145	497	328
L_marginatus	168	136	555	338
L_marginatus	169	153	545	344
L_marginatus	172	139	597	347
L_marginatus	159	145	592	349
L_marginatus	172	142	582	350
L_marginatus	176	149	630	355
L_marginatus	163	141	567	355
L_marginatus	170	121	585	356
L_marginatus	168	145	602	357
L_marginatus	164	148	639	360
L_marginatus	165	130	621	360
L_marginatus	171	142	635	371
L_marginatus	157	134	650	373
L_marginatus	176	138	627	376
L_marginatus	165	149	630	382
L_marginatus	168	150	764	383
L_marginatus	158	137	713	387
L_marginatus	173	143	653	389
L_marginatus	164	134	400	390
L_marginatus	162	128	672	391
L_marginatus	172	148	670	393
L_marginatus	172	148	735	400
L_marginatus	174	134	714	406
L_marginatus	170	151	598	406
L_marginatus	154	142	620	410
L_marginatus	157	142	618	410
L_marginatus	165	135	722	415
L_marginatus	164	133	642	419
L_marginatus	177	144	850	420
L_marginatus	167	158	850	420
L_marginatus	165	147	713	424
L_marginatus	170	142	857	430
L_marginatus	167	156	725	430
L_marginatus	172	140	800	449
L_marginatus	171	142	814	451
L_marginatus	174	144	825	456
L_marginatus	167	145	803	465
L_marginatus	170	136	800	477
L_marginatus	168	148	856	478
L_marginatus	168	145	908	480
L_marginatus	168	131	875	486
L_marginatus	168	142	837	497
L_mystacinus_sp_nov	164	141	442	284
L_mystacinus_sp_nov	173	165	502	323
L_mystacinus_sp_nov	169	158	595	348
L_mystacinus_sp_nov	173	158	502	348
L_mystacinus_sp_nov	170	157	752	380
L_mystacinus_sp_nov	169	145	592	387
L_nigromarginatus	154	143	158	84
L_nigromarginatus	159	145	153	93
L_nigromarginatus	154	143	140	94
L_nigromarginatus	165	137	175	105
L_nigromarginatus	153	157	190	112
L_nigromarginatus	157	140	176	112
L_nigromarginatus	157	161	219	129
L_nigromarginatus	182	156	225	139
L_nigromarginatus	157	147	302	202
L_nigromarginatus	148	144	357	223
L_nigromarginatus	157	161	334	226
L_nigromarginatus	163	152	327	231
L_nigromarginatus	157	161	376	244
L_nigromarginatus	154	165	365	254
L_nigromarginatus	153	147	448	288
L_nigromarginatus	152	153	438	289
L_nigromarginatus	166	166	403	289
L_nigromarginatus	154	147	470	305
L_nigromarginatus	159	150	477	306
L_nigromarginatus	152	149	472	307
L_nigromarginatus	156	148	486	310
L_nigromarginatus	154	147	486	311
L_nigromarginatus	158	152	498	312
L_nigromarginatus	155	139	510	314
L_nigromarginatus	153	140	477	315
L_nigromarginatus	160	159	470	317
L_nigromarginatus	153	141	523	318
L_nigromarginatus	161	141	488	318
L_nigromarginatus	156	145	485	319
L_nigromarginatus	156	157	485	319
L_nigromarginatus	155	134	491	322
L_nigromarginatus	157	148	479	322
L_nigromarginatus	151	153	500	325
L_nigromarginatus	163	141	497	325
L_nigromarginatus	149	149	480	327
L_nigromarginatus	159	145	525	337
L_nigromarginatus	159	155	535	340
L_nigromarginatus	156	153	500	340
L_nigromarginatus	154	147	520	341
L_nigromarginatus	155	162	520	341
L_nigromarginatus	159	145	580	344
L_nigromarginatus	156	147	517	344
L_nigromarginatus	158	144	580	345
L_nigromarginatus	153	138	570	345
L_nigromarginatus	158	159	525	345
L_nigromarginatus	155	140	568	346
L_nigromarginatus	157	139	552	346
L_nigromarginatus	152	140	533	346
L_nigromarginatus	153	156	543	347
L_nigromarginatus	158	144	535	347
L_nigromarginatus	158	154	515	347
L_nigromarginatus	154	147	523	348
L_nigromarginatus	152	138	546	350
L_nigromarginatus	158	142	538	351
L_nigromarginatus	154	159	513	351
L_nigromarginatus	152	146	570	352
L_nigromarginatus	156	145	512	352
L_nigromarginatus	151	157	522	355
L_nigromarginatus	157	155	515	356
L_nigromarginatus	156	133	552	357
L_nigromarginatus	152	141	505	357
L_nigromarginatus	155	147	561	358
L_nigromarginatus	155	155	497	358
L_nigromarginatus	158	144	499	359
L_nigromarginatus	150	140	498	359
L_nigromarginatus	154	151	560	360
L_nigromarginatus	150	147	540	360
L_nigromarginatus	154	155	551	361
L_nigromarginatus	159	138	531	361
L_nigromarginatus	156	143	525	361
L_nigromarginatus	159	147	522	361
L_nigromarginatus	161	142	566	362
L_nigromarginatus	156	146	550	364
L_nigromarginatus	156	137	600	365
L_nigromarginatus	158	148	585	365
L_nigromarginatus	155	152	506	366
L_nigromarginatus	154	145	572	367
L_nigromarginatus	155	135	590	370
L_nigromarginatus	154	149	572	370
L_nigromarginatus	161	152	592	371
L_nigromarginatus	163	152	593	372
L_nigromarginatus	151	146	540	372
L_nigromarginatus	151	150	550	374
L_nigromarginatus	154	144	538	375
L_nigromarginatus	159	153	601	376
L_nigromarginatus	151	133	575	376
L_nigromarginatus	158	148	614	377
L_nigromarginatus	155	154	588	377
L_nigromarginatus	153	157	577	382
L_nigromarginatus	160	163	581	387
L_nigromarginatus	157	148	595	388
