Species	VE	SC	SVL	TL
L_dibernardoi	172	145	638	366
L_dibernardoi	164	150	632	381
L_dibernardoi	168	144	711	399
L_dibernardoi	167	153	679	408
L_dibernardoi	170	158	630	420
L_dibernardoi	166	162	905	475
L_dibernardoi	168	153	835	511
L_dibernardoi	172	148	868	522
L_marginatus	165	151	327	205
L_marginatus	166	136	430	258
L_marginatus	164	136	418	264
L_marginatus	159	133	459	282
L_marginatus	156	141	494	300
L_marginatus	170	162	502	304
L_marginatus	166	133	498	306
L_marginatus	185	138	480	315
L_marginatus	169	142	593	321
L_marginatus	172	152	529	321
L_marginatus	163	138	540	324
L_marginatus	163	130	530	327
L_marginatus	172	145	497	328
L_marginatus	168	136	555	338
L_marginatus	169	153	545	344
L_marginatus	172	139	597	347
L_marginatus	159	145	592	349
L_marginatus	172	142	582	350
L_marginatus	176	149	630	355
L_marginatus	163	141	567	355
L_marginatus	170	121	585	356
L_marginatus	168	145	602	357
L_marginatus	164	148	639	360
L_marginatus	165	130	621	360
L_marginatus	171	142	635	371
L_marginatus	157	134	650	373
L_marginatus	176	138	627	376
L_marginatus	165	149	630	382
L_marginatus	168	150	764	383
L_marginatus	158	137	713	387
L_marginatus	173	143	653	389
L_marginatus	164	134	400	390
L_marginatus	162	128	672	391
L_marginatus	172	148	670	393
L_marginatus	172	148	735	400
L_marginatus	174	134	714	406
L_marginatus	170	151	598	406
L_marginatus	154	142	620	410
L_marginatus	157	142	618	410
L_marginatus	165	135	722	415
L_marginatus	164	133	642	419
L_marginatus	177	144	850	420
L_marginatus	167	158	850	420
L_marginatus	165	147	713	424
L_marginatus	170	142	857	430
L_marginatus	167	156	725	430
L_marginatus	172	140	800	449
L_marginatus	171	142	814	451
L_marginatus	174	144	825	456
L_marginatus	167	145	803	465
L_marginatus	170	136	800	477
L_marginatus	168	148	856	478
L_marginatus	168	145	908	480
L_marginatus	168	131	875	486
L_marginatus	168	142	837	497
L_mystacinus_sp_nov	164	141	442	284
L_mystacinus_sp_nov	173	165	502	323
L_mystacinus_sp_nov	169	158	595	348
L_mystacinus_sp_nov	173	158	502	348
L_mystacinus_sp_nov	170	157	752	380
L_mystacinus_sp_nov	169	145	592	387
